census_code,gnis_feature_id,latitude,longitude,name,pce_reporting_id,aea_energy_region_id,aea_energy_region,alaska_native_regional_corporation_id,alaska_native_regional_corporation_name,census_area_id,census_area_census_code,census_area_county_code,census_area_gnis_feature_id,census_area_historical,census_area_name,census_area_notes
65.0,1418109,51.88,-176.6580556,Adak,331005.0,3.0,Aleutians,2.0,Aleut Corporation,2,99016,16,1419965,False,Aleutians West Census Area,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125."
425.0,1397926,58.0221236,-152.7652264,Afognak,,,,10.0,"Koniag, Incorporated",14,99150,150,1419974,False,Kodiak Island Borough,
650.0,1398007,56.9455556,-154.1702778,Akhiok,331010.0,1.0,Kodiak,10.0,"Koniag, Incorporated",14,99150,150,1419974,False,Kodiak Island Borough,
760.0,1398011,60.9094444,-161.4313889,Akiachak,331020.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
870.0,1398012,60.9122222,-161.2138889,Akiak,331030.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
1090.0,1418123,54.1355556,-165.7730556,Akutan,331040.0,3.0,Aleutians,2.0,Aleut Corporation,1,99013,13,1419964,False,Aleutians East Borough,"Created from part of the former Aleutian Islands Census Area (02-010) effective October 23, 1987. The remainder of the former Aleutian Islands Census Area was established as the new Aleutians West Census Area (02-016); 1980 population: 1,643."
1200.0,1398042,62.6888889,-164.6152778,Alakanuk,331240.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,26,99270,158,1419985,False,Kusilvak Census Area,"Formerly known as the Wade Hampton Census Area, FIPS code 270"
1305.0,1865542,66.5572222,-152.7072222,Alatna,331050.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
1390.0,2418762,62.6747868,-141.1314,Alcan Border,,6.0,Yukon-Koyukuk/Upper Tanana,,,24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
1420.0,1398091,59.2730556,-158.6177778,Aleknagik,332430.0,10.0,Bristol Bay,5.0,Bristol Bay Native Corporation,7,99070,70,1419968,False,Dillingham Census Area,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384."
1560.0,1865543,58.06,-152.9097222,Aleneva,,,,,,14,99150,150,1419974,False,Kodiak Island Borough,
1860.0,1398129,66.5655556,-152.6455556,Allakaket,331050.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
1882.0,1865544,70.3280556,-150.9775,Alpine,,,,,,18,99185,185,1419978,False,North Slope Borough,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986."
1970.0,1412509,67.0861111,-157.8513889,Ambler,331250.0,8.0,Northwest Arctic,11.0,"NANA Regional Corporation, Incorporated",19,99188,188,1419979,False,Northwest Arctic Borough,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831."
2080.0,1398235,68.1433333,-151.7358333,Anaktuvuk Pass,332350.0,11.0,North Slope,3.0,Arctic Slope Regional Corporation,18,99185,185,1419978,False,North Slope Borough,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986."
3000.0,1398242,61.2180556,-149.9002778,Anchorage,,5.0,Railbelt,,,3,99020,20,1416061,False,Anchorage Municipality,
3110.0,1412516,59.7766667,-151.8313889,Anchor Point,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
3220.0,1398245,64.3441667,-149.1869444,Anderson,,5.0,Railbelt,,,6,99068,68,1419988,False,Denali Borough,"Created from part of the Yukon-Koyukuk Census Area (02-290) and an unpopulated part of the Southeast Fairbanks Census Area (02-240) effective December 7, 1990; 1990 population: 1,682."
-16.0,2418771,62.071503,-163.279515,Andreafsky,331660.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,26,99270,158,1419985,False,Kusilvak Census Area,"Formerly known as the Wade Hampton Census Area, FIPS code 270"
3440.0,1420113,57.5033333,-134.5838889,Angoon,332650.0,4.0,Southeast,12.0,Sealaska Corporation,10,33390,105,2371430,False,Hoonah-Angoon Census Area,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1."
3550.0,1398286,61.5783333,-159.5222222,Aniak,331760.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
3880.0,1398335,62.6561111,-160.2066667,Anvik,331260.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
3990.0,1398382,68.1269444,-145.5377778,Arctic Village,331770.0,6.0,Yukon-Koyukuk/Upper Tanana,,,29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
4210.0,1418170,52.1961111,-174.2005556,Atka,331750.0,3.0,Aleutians,2.0,Aleut Corporation,2,99016,16,1419965,False,Aleutians West Census Area,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125."
4430.0,1699811,60.8669444,-162.2730556,Atmautluak,331780.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
4500.0,1406178,70.4691667,-157.3994444,Atqasuk,332360.0,11.0,North Slope,10.0,"Koniag, Incorporated",18,99185,185,1419978,False,North Slope Borough,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986."
4670.0,2418783,52.8947998,-173.124245,Attu Station,,,,,,2,99016,16,1419965,False,Aleutians West Census Area,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125."
4760.0,1398469,58.3833333,-134.6597222,Auke Bay,,,,,,11,99110,110,1419971,False,Juneau City and Borough,
4990.0,1398512,57.1949295,-154.5072442,Ayakulik,,,,,,14,99150,150,1419974,False,Kodiak Island Borough,
5000.0,1893447,64.8,-147.5333333,Badger,,5.0,Railbelt,,,8,99090,90,1419969,False,Fairbanks North Star Borough,
5200.0,1398635,71.2905556,-156.7886111,Barrow,,11.0,North Slope,3.0,Arctic Slope Regional Corporation,18,99185,185,1419978,False,North Slope Borough,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986."
5585.0,1865547,60.1641667,-149.395,Bear Creek,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
5750.0,1398776,66.3594444,-147.3963889,Beaver,331790.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
5970.0,1418210,55.0888889,-162.0305556,Belkofski,,,,2.0,Aleut Corporation,1,99013,13,1419964,False,Aleutians East Borough,"Created from part of the former Aleutian Islands Census Area (02-010) effective October 23, 1987. The remainder of the former Aleutian Islands Census Area was established as the new Aleutians West Census Area (02-016); 1980 population: 1,643."
6245.0,1865548,61.1411111,-151.0827778,Beluga,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
6520.0,1398908,60.7922222,-161.7558333,Bethel,331800.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
6630.0,1926949,66.9188889,-151.5161111,Bettles,331060.0,6.0,Yukon-Koyukuk/Upper Tanana,,,29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
6850.0,1398949,64.1525,-145.8422222,Big Delta,,5.0,Railbelt,,,24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
7070.0,1866933,61.5213889,-149.9544444,Big Lake,,5.0,Railbelt,,,16,99170,170,1419976,False,Matanuska-Susitna Borough,
7390.0,1399024,62.9497222,-163.7788889,Bill Moore's Slough,,,,6.0,Calista Corporation,26,99270,158,1419985,False,Kusilvak Census Area,"Formerly known as the Wade Hampton Census Area, FIPS code 270"
7620.0,1399049,66.2590355,-145.8190168,Birch Creek,331810.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
8740.0,1420670,65.3347222,-166.4891667,Brevig Mission,331270.0,9.0,Bering Straits,4.0,Bering Straits Native Corporation,17,99180,180,1419977,False,Nome Census Area,
9600.0,1412684,65.9797222,-161.1230556,Buckland,331820.0,8.0,Northwest Arctic,11.0,"NANA Regional Corporation, Incorporated",19,99188,188,1419979,False,Northwest Arctic Borough,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831."
9657.0,2418798,61.7162325,-149.09999,Buffalo Soapstone,,5.0,Railbelt,,,16,99170,170,1419976,False,Matanuska-Susitna Borough,
9710.0,1416898,61.5422222,-149.0333333,Butte,,5.0,Railbelt,,,16,99170,170,1419976,False,Matanuska-Susitna Borough,
10040.0,1412708,65.9133333,-161.9244444,Candle,,,,,,19,99188,188,1419979,False,Northwest Arctic Borough,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831."
10150.0,1399788,63.3916667,-148.9508333,Cantwell,,5.0,Railbelt,1.0,"Ahtna, Incorporated",6,99068,68,1419988,False,Denali Borough,"Created from part of the Yukon-Koyukuk Census Area (02-290) and an unpopulated part of the Southeast Fairbanks Census Area (02-240) effective December 7, 1990; 1990 population: 1,682."
11690.0,1400106,65.5725,-144.8030556,Central,331830.0,6.0,Yukon-Koyukuk/Upper Tanana,,,29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
11800.0,1400128,66.6544444,-143.7222222,Chalkyitsik,331840.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
11910.0,1400137,67.5052778,-148.4936111,Chandalar,,,,,,29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
12350.0,1866934,62.4491667,-150.1016667,Chase,,5.0,Railbelt,,,16,99170,170,1419976,False,Matanuska-Susitna Borough,
12680.0,1400188,60.16,-164.2658333,Chefornak,332310.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
12900.0,1400199,65.0530556,-146.0555556,Chena Hot Springs,,,,,,8,99090,90,1419969,False,Fairbanks North Star Borough,
12920.0,2582710,64.7940907,-148.0357455,Chena Ridge,,5.0,Railbelt,,,8,99090,90,1419969,False,Fairbanks North Star Borough,
12970.0,1421254,60.0633333,-148.0113889,Chenega Bay,331850.0,7.0,Copper River/Chugach,7.0,Chugach Alaska Corporation,25,99261,261,1419984,False,Valdez-Cordova Census Area,
13230.0,1400219,61.5277778,-165.5863889,Chevak,331280.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,26,99270,158,1419985,False,Kusilvak Census Area,"Formerly known as the Wade Hampton Census Area, FIPS code 270"
13340.0,1400239,61.7966667,-148.4627778,Chickaloon,,5.0,Railbelt,8.0,"Cook Inlet Region, Incorporated",16,99170,170,1419976,False,Matanuska-Susitna Borough,
13450.0,1400245,64.0733333,-141.9361111,Chicken,,,,,,24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
13550.0,1400269,56.2952778,-158.4022222,Chignik,331860.0,10.0,Bristol Bay,5.0,Bristol Bay Native Corporation,15,99164,164,1419975,False,Lake and Peninsula Borough,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384."
13670.0,1400274,56.3084393,-158.5302391,Chignik Lagoon,331870.0,10.0,Bristol Bay,5.0,Bristol Bay Native Corporation,15,99164,164,1419975,False,Lake and Peninsula Borough,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384."
13780.0,1893911,56.2555556,-158.7625,Chignik Lake,331880.0,10.0,Bristol Bay,5.0,Bristol Bay Native Corporation,15,99164,164,1419975,False,Lake and Peninsula Borough,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384."
13825.0,1421022,59.399702,-135.8964089,Chilkat Valley,332660.0,4.0,Southeast,,,9,99100,100,1419970,False,Haines Borough,
13860.0,1866935,57.6319444,-152.1825,Chiniak,,1.0,Kodiak,,,14,99150,150,1419974,False,Kodiak Island Borough,
13890.0,1400321,62.0661111,-142.0408333,Chisana,,,,,,25,99261,261,1419984,False,Valdez-Cordova Census Area,
14000.0,1400333,62.5717828,-144.6541704,Chistochina,331070.0,7.0,Copper River/Chugach,1.0,"Ahtna, Incorporated",25,99261,261,1419984,False,Valdez-Cordova Census Area,
14110.0,1400337,61.5158333,-144.4369444,Chitina,331890.0,7.0,Copper River/Chugach,1.0,"Ahtna, Incorporated",25,99261,261,1419984,False,Valdez-Cordova Census Area,
14330.0,1400376,61.5719444,-159.245,Chuathbaluk,332230.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
14440.0,1400378,61.3888889,-149.4819444,Chugiak,,5.0,Railbelt,,,3,99020,20,1416061,False,Anchorage Municipality,
14790.0,1893942,62.9461111,-164.1722222,Chuloonawick,,,,6.0,Calista Corporation,26,99270,158,1419985,False,Kusilvak Census Area,"Formerly known as the Wade Hampton Census Area, FIPS code 270"
14880.0,1400404,65.8255556,-144.0605556,Circle,331900.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
15320.0,1412797,60.2311111,-151.3936111,Clam Gulch,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
15430.0,1400426,58.8441667,-158.5508333,Clark's Point,331910.0,10.0,Bristol Bay,5.0,Bristol Bay Native Corporation,7,99070,70,1419968,False,Dillingham Census Area,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384."
,1400433,64.3361111,-149.1630556,Clear,,5.0,Railbelt,,,6,99068,68,1419988,False,Denali Borough,"Created from part of the Yukon-Koyukuk Census Area (02-290) and an unpopulated part of the Southeast Fairbanks Census Area (02-240) effective December 7, 1990; 1990 population: 1,682."
16360.0,1669437,56.0138889,-132.8277778,Coffman Cove,331080.0,4.0,Southeast,,,21,99198,198,1419980,False,Prince of Wales-Hyder Census Area,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613."
16420.0,1412828,60.3686111,-151.3063889,Cohoe,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
16530.0,1418448,55.1858333,-162.7211111,Cold Bay,331980.0,3.0,Aleutians,2.0,Aleut Corporation,1,99013,13,1419964,False,Aleutians East Borough,"Created from part of the former Aleutian Islands Census Area (02-010) effective October 23, 1987. The remainder of the former Aleutian Islands Census Area was established as the new Aleutians West Census Area (02-016); 1980 population: 1,643."
16630.0,1412829,67.2563889,-150.1841667,Coldfoot,,,,,,29,99290,290,1419987,False,Yukon-Koyukuk Census Area,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682."
16750.0,1400578,64.8569444,-147.8027778,College,,5.0,Railbelt,,,8,99090,90,1419969,False,Fairbanks North Star Borough,
17190.0,1421192,60.49,-149.8341667,Cooper Landing,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
17300.0,1400669,61.9769598,-145.3297294,Copper Center,,7.0,Copper River/Chugach,1.0,"Ahtna, Incorporated",25,99261,261,1419984,False,Valdez-Cordova Census Area,
17380.0,1866937,62.0438889,-145.4205556,Copperville,,7.0,Copper River/Chugach,,,25,99261,261,1419984,False,Valdez-Cordova Census Area,
17410.0,1421215,60.5427778,-145.7575,Cordova,331920.0,7.0,Copper River/Chugach,7.0,Chugach Alaska Corporation,25,99261,261,1419984,False,Valdez-Cordova Census Area,
17630.0,1400735,64.895,-163.6763889,Council,,,,4.0,Bering Straits Native Corporation,17,99180,180,1419977,False,Nome Census Area,
17670.0,1866938,59.4172222,-136.025,Covenant Life,331120.0,4.0,Southeast,,,9,99100,100,1419970,False,Haines Borough,
17740.0,1421260,55.4763889,-133.1483333,Craig,331090.0,4.0,Southeast,12.0,Sealaska Corporation,21,99198,198,1419980,False,Prince of Wales-Hyder Census Area,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613."
17850.0,1400824,61.87,-158.1108333,Crooked Creek,332240.0,2.0,Lower Yukon-Kuskokwim,6.0,Calista Corporation,4,99050,50,1419966,False,Bethel Census Area,
17960.0,1417059,60.4222222,-149.3666667,Crown Point,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
18030.0,1866940,57.935,-134.7111111,Cube Cove,,,,,,10,33390,105,2371430,False,Hoonah-Angoon Census Area,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1."
18290.0,1866941,70.2055556,-148.5116667,Deadhorse,,11.0,North Slope,,,18,99185,185,1419978,False,North Slope Borough,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986."
18510.0,1412894,66.0755556,-162.7172222,Deering,332060.0,8.0,Northwest Arctic,11.0,"NANA Regional Corporation, Incorporated",19,99188,188,1419979,False,Northwest Arctic Borough,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831."
18620.0,1401104,64.0377778,-145.7322222,Delta Junction,,5.0,Railbelt,,,24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
18675.0,2418552,63.8721715,-145.21773,Deltana,,5.0,Railbelt,,,24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
18925.0,1865549,59.6761111,-151.5575,Diamond Ridge,,5.0,Railbelt,,,12,99122,122,1419972,False,Kenai Peninsula Borough,
18950.0,1401203,59.0397222,-158.4575,Dillingham,332430.0,10.0,Bristol Bay,5.0,Bristol Bay Native Corporation,7,99070,70,1419968,False,Dillingham Census Area,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384."
19060.0,1401213,65.7537652,-168.92315,Diomede,331930.0,9.0,Bering Straits,4.0,Bering Straits Native Corporation,17,99180,180,1419977,False,Nome Census Area,
19720.0,1401364,63.6613889,-144.0644444,Dot Lake,331100.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
19750.0,1865550,63.6508333,-144.0438889,Dot Lake Village,331100.0,6.0,Yukon-Koyukuk/Upper Tanana,,,24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
19830.0,1401374,58.2755556,-134.3925,Douglas,,4.0,Southeast,,,11,99110,110,1419971,False,Juneau City and Borough,
20020.0,1866943,63.6533333,-144.6652778,Dry Creek,,,,,,24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
20270.0,1419726,53.8898,-166.5422,Dutch Harbor,,3.0,Aleutians,,,2,99016,16,1419965,False,Aleutians West Census Area,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125."
20380.0,1401499,64.7880556,-141.2,Eagle,331110.0,6.0,Yukon-Koyukuk/Upper Tanana,9.0,"Doyon, Limited",24,99240,240,1419983,False,Southeast Fairbanks Census Area,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990."
20490.0,1401545,61.3213889,-149.5677778,Eagle River,,5.0,Railbelt,,,3,99020,20,1416061,False,Anchorage Municipality,
